"Recipient Company","Parent Company","Award Date","Award Type","Grant Amount","Face Loan Amount","Awarding Agency","Program Name","Award Details","Data Source for Award","Facility Name","Facility State","Facility City","Notes","Ownership Structure","Stock Ticker Symbol","Parent Headquarters State","Parent Headquarters Country","Parent Sector","Parent Industry","Parent Total Workforce at end of 2019","Parent Latest Workforce Size","Parent Employment-related Penalties Since 2010","Parent Federal Corporate Income Tax Rate","Parent Total Federal State and Local Subsidies Since 2010","Parent Government-contracting-related Penalties Since 2010","Parent Environmental / Healthcare / Safety Penalties Since 2010","Parent Consumer Protection / Financial / Competition-related Penaties Since 2010","Parent Ratio of CEO Pay to that of Average Worker","CEO Pay","Median Worker Pay","Parent TARP Loans Received During Financial Crisis"
"Prisma Health Midlands","Prisma Health Midlands","20200506","grant","$27466707","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","South Carolina","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Prisma Health Tuomey","Prisma Health Tuomey","20200506","grant","$3363361","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","South Carolina","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Prisma Health University Medical Group","Prisma Health University Medical Group","20200506","grant","$6991103","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","South Carolina","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Prisma Health-Upstate","Prisma Health-Upstate","20200506","grant","$38182241","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","South Carolina","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Private Diagnostic Clinic Pllc","Private Diagnostic Clinic Pllc","20200506","grant","$9675250","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","North Carolina","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Privia Care Center Llc","Privia Care Center Llc","20200506","grant","$1037381","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Maryland","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Privia Medical Group","Privia Medical Group","20200506","grant","$5934052","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Virginia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Privia Medical Group Gulf Coast Pllc","Privia Medical Group Gulf Coast Pllc","20200506","grant","$1383629","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Texas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Privia Medical Group Of Georgia Llc","Privia Medical Group Of Georgia Llc","20200506","grant","$2174966","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Georgia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Procare Hospice Of Nevada","Procare Hospice Of Nevada","20200506","grant","$604517","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Nevada","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Pro-Dex Inc.","Pro-Dex Inc.","20200410","loan","$0","$1360100","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/788920/000155335020000319/pdex_8k.htm",""," ","","","publicly traded","PDEX","California","USA","medical equipment and supplies","medical devices","97","0","0","","0","0","0","0","","$454757","$0","0"
"Professional Healthcare Of Pinellas Llc","Professional Healthcare Of Pinellas Llc","20200506","grant","$516389","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Florida","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Professional Occupational & Physical Therapy Pllc","Professional Occupational & Physical Therapy Pllc","20200506","grant","$2018013","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New York","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Professional Rehabilitation Hospital Llc","Professional Rehabilitation Hospital Llc","20200506","grant","$696679","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Louisiana","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Profire Energy Inc.","Profire Energy Inc.","20200421","loan","$0","$1074030","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/1289636/000128963620000008/ppploan8-k.htm",""," ","","","publicly traded","PFIE","Utah","USA","oilfield services and supplies","oilfield technology","117","0","0","","0","0","0","0","","$1409162","$0","0"
"Progress West Healthcare Center","Progress West Healthcare Center","20200506","grant","$794760","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Missouri","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Progressive Community Health Centers Inc","Progressive Community Health Centers Inc","20200506","grant","$538346","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Wisconsin","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Progressive Emergency Physicians Pllc","Progressive Emergency Physicians Pllc","20200506","grant","$509129","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New York","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Prohealth Care Medical Associates Inc","Prohealth Care Medical Associates Inc","20200506","grant","$1080238","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Wisconsin","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Prohealth Home Care","Prohealth Home Care","20200506","grant","$1253170","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","California","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Prohealth Home Care Inc","Prohealth Home Care Inc","20200506","grant","$629075","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Wisconsin","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Prohealth Partners","Prohealth Partners","20200506","grant","$1171458","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","California","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Proliance Surgeons","Proliance Surgeons","20200506","grant","$5423107","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Washington","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Memorial Hospital","ProMedica","20200506","grant","$1168536","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Ohio","USA","healthcare services","hospitals","0","0","45883","","0","8500000","0","0","","$0","$0","0"
"Mercy Memorial Hospital Corporation","ProMedica","20200506","grant","$2463754","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Ohio","USA","healthcare services","hospitals","0","0","45883","","0","8500000","0","0","","$0","$0","0"
"ProMedica Bay Park Hospital","ProMedica Bay Park Hospital","20200508","grant","$10735900","$0","Health and Human Services Department","Provider Relief Fund COVID-19 High-Impact Payments","","https://data.cdc.gov/Administrative/Provider-Relief-Fund-COVID-19-High-Impact-Payments/b58h-s9zx",""," ","","","non-profit","","Ohio","USA","healthcare services","hospitals","0","0","0","","0","0","0","0","","$0","$0","0"
"Promedica Central Physicians Llc","Promedica Central Physicians Llc","20200506","grant","$2113751","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Ohio","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Propath Services Llc","Propath Services Llc","20200506","grant","$607816","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Texas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
